whiskyID,rev_ID,date,rating,text
6,6-24,03.11.2020,5.0,
6,6-25,09.11.2020,5.0,"Aroma: unheimlich rauchig, ähnlich Speck  Geschmack: voll, komplex, lang anhaltender Rauchgeschmack, leicht ""fischig""  Abgang:   Kommentar:"
6,6-26,02.10.2012,5.0,"Aroma: sehr komplex, angenehmer Rauch, nicht zu medizinisch  Geschmack: Im Vergleich zum Bowmore Mariner 15Y, viel runder, harmonischer  Abgang: lang und warm  Kommentar: obwohl ich immer Talisker im Haus hatte ziehe ich dem Lagavulin zum Genuss schon immer vor. Seit Jahren ein Lieblingswhisky neben dem milden Highland Park"
6,6-27,17.06.2017,5.0,"Aroma:  Lagerfeuerrauch, dunkle Kirschen, mit der Zeit süßer werdend Geschmack:  holzig, rauchig, etwas Lakritz-Anklang Abgang:  längerer Abgang, Räucherschinken, leichter werdend Kommentar:  klasse voluminöser, rauchiger Malt"
6,6-28,25.09.2013,4.0,"Aroma: Massiv Torfrauch. Die Noten von fruchtigem Sherry sind klar und rein, die Vanille ist im Hintergrund tief und wunderschön geschichtet.   Geschmack: Kontrastierend mit der Süße des Sherrycharakters schmeckt er insgesamt eher trocken und dabei aber dennoch prima komplex. . Entwickelt sich mit öligen, grasigen und leicht salzigen Noten.   Abgang: Recht intensiv und torfrauchig. Im Nachklang jedoch sanft und herrlich trocken.  Kommentar: Ein Klassiker! Nichts für kurze Momente. Nur ein letztes Quäntchen Vielschichtigkeit fehlen ihm zur Vollkommenheit bzw. zu einem absoluten Spitzenwhisky wie z.B. dem Ardbeg Uigeadail."
6,6-29,25.01.2015,5.0,"Aroma:  medizinischer Rauch begrüßt sofort, dann kommt Eiche, Malz und dunkle Schokolade.... aber erst spät, jetzt geht der Rauch in Lagerfeuer über!!! Geschmack: starke Würze, jetzt kommt auch die zartbittere Schokolade, komplexe schwere Fruchtmoten und immerwieder die Eiche, Abgang: pfeffrig, der sich sogar aufbaut und ganz langsam verblasst, Kommentar: es ist herrlich diesen Tropfen zu genießen, anspruchs- und charaktervoll, ABER: das ist JETZT meine Meinung, vor zwei Jahren fand ich ihn nur scheußlich! D.h. man benötigt eine gewisse Zeit für solch einen Whisky!"
6,6-30,15.03.2015,,"2.Runde Aroma: herzlich willkommen im alten Krankenhaus! ... dann kommt Leder, nach einer gewissen Zeit merkt man dunkle Schokolade und natürlich die Eiche, und wieder Eiche! die Süße ahnt man ganz leicht im Hintergrung, eine Art Frucht bleibt mir heut verschlossen, Geschmack: süßer Toffee und Karamell beschlägt sofort den gesamten Mund, ölig, Würze baut sich auf, Abgang: eine sehr schöne Welle an Würze und dunkler Schokolade, gepaart mit einer Ladung Jod rollt durch den Rachen! Oh, das ist schon ein Erlebnis! Kommentar: Ohne Zweifel, dieser Scotch hat schon ein Alleinstellungsmerkmal! Besonders beeindruckt mich selbst, wie man Gefallen zu diesem extremen Geschmack erlernen kann. Das zweite Glas ist noch besser ;-)"
6,6-31,31.01.2016,,"3. Runde       Flasche geöffnet: 25.01.2015       Alkohol: 42% gemessen Aroma: überwältigender Rauch - sehr phenolisch,  starker Lederduft, langsam kommen einige Orangen, und Würze vom Holz, Geschmack: neben der Medizin ist schnell auch eine Süße von Honig da, ein Hauch von Salz, Abgang: kräftig aber nicht gewaltig, immer umrahmt vom deftigen Rauch bleibt zum Schluss Bitterschokolade und würzige Eiche mit Räucherspeck, kein nachbrennen, Kommentar: Der Rauch dominiert den gesamten Genuss und erinnert doch schon an Medizin aus der Apotheke - und das ist so wunderbar!"
6,6-32,11.08.2013,3.0,"die Farbe ist schon mal die typische Whiskyverlockungsfarbe! Aroma:  viel Sherry, dahinter Rauch, Salz und Meer, complex, später verstärkt sich Meersalz Geschmack: weiche runde Süße, torfig, leichter Rauch an der Zunge, Geräuchertes (mmh schöne Speckrauchnote)  Abgang:  warm lang, freundlich Kommentar:  ein schöner runder wärmender Whisky, voller Körper, ausgereift und harmonisch, für Momente der Ruhe ohne Überraschungen,  ich bevorzuge den 12er weil der spannender und schmackhafter ist als der 16er"
6,6-33,30.05.2018,4.0,"Aroma: angenehmer Rauch zwischen Lagerfeuer und phenolisch, Limettenfrische, Äpfel Geschmack: deutlicher süßwürziger Antritt, würzige Eiche, etwas Rauch, etwas Sherry, Orangen, dunkle Früchte, Zartbitterschokolade Abgang: lang und süßwürzig, leicht trocken werdend, fruchtige Süße, etwas Rauch, Eichenwürze, Zartbitterschokolade Kommentar: im Vergleich zu den excellenten DE-Abfüllungen doch insgesamt ""flacher"", aber dennoch 4,0 Sterne"
